token_address,token_symbol,token_name,token_type
"0x2260fac5e5542a773aa44fbcfedf7c193bc2c599","WBTC","wrapped-bitcoin","bitcoin"
"0x18084fba666a33d37592fa2633fd49a74dd93a88","tBTC","tbtc","bitcoin"
"0xc96de26018a54d51c097160568752c4e3bd6c364","FBTC","ignition-fbtc","bitcoin"
"0xd9d920aa40f578ab794426f5c90f6c731d159def","xSolvBTC","solv-protocol-solvbtc-bbn","bitcoin"
"0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf","cbBTC","coinbase-wrapped-btc","bitcoin"
"0x7a56e1c57c7475ccf742a1832b028f0456652f97","SolvBTC","solv-btc","bitcoin"
"0x8db2350d78abc13f5673a411d4700bcf87864dde","swBTC","swell-restaked-btc","bitcoin"
"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","usd-coin","stablecoin"
"0x4c9EDD5852cd905f086C759E8383e09bff1E68B3","USDe","ethena-usde","stablecoin"
"0x6b175474e89094c44da98b954eedeac495271d0f","DAI","dai","stablecoin"
"0xcdf7028ceab81fa0c6971208e83fa7872994bee5","T","threshold-network-token","ethereum"
"0xdac17f958d2ee523a2206206994597c13d831ec7","USDT","tether","stablecoin"
,"BTC","bitcoin","bitcoin"
,"LBTC","lombard-staked-btc","bitcoin"
,"intBTC",,"bitcoin"
,"crv-stBTC",,"bitcoin"
,"crvUSD",,"stablecoin"
,"thUSD","threshold-usd","stablecoin"
